owner,repo,year,source_type,tag,count
scipy,scipy,2011,prs,statistics,25
scipy,scipy,2011,prs,medical,89
scipy,scipy,2011,prs,linear-algebra,42
scipy,scipy,2011,prs,probability,8
scipy,scipy,2011,prs,information-theory,4
scipy,scipy,2011,prs,computer-vision,9
scipy,scipy,2011,prs,image-processing,8
scipy,scipy,2011,prs,remote-sensing,7
scipy,scipy,2011,prs,differential-equations,29
scipy,scipy,2011,prs,astrophysics,7
scipy,scipy,2011,prs,geospatial,22
scipy,scipy,2011,prs,optimization,15
scipy,scipy,2011,prs,quant-finance,5
scipy,scipy,2011,prs,control-systems,3
scipy,scipy,2011,prs,signal-processing,10
scipy,scipy,2011,prs,physics,4
scipy,scipy,2011,prs,oceanography,10
scipy,scipy,2011,prs,combinatorial-optimization,2
scipy,scipy,2011,prs,natural-language-processing,1
scipy,scipy,2011,prs,time-frequency-analysis,2
scipy,scipy,2011,prs,geoscience,2
scipy,scipy,2011,prs,hypothesis-testing,1
scipy,scipy,2011,prs,robotics,1
scipy,scipy,2011,prs,machine-learning,2
scipy,scipy,2011,prs,biology,5
scipy,scipy,2011,prs,reinforcement-learning,1
scipy,scipy,2011,prs,computational-chemistry,2
scipy,scipy,2011,prs,numerical-linear-algebra,5
scipy,scipy,2011,prs,hydrology,2
scipy,scipy,2011,prs,simulation,1
scipy,scipy,2011,prs,bayesian-statistics,1
scipy,scipy,2011,prs,meteorology,1
scipy,scipy,2011,prs,graph-theory,2
scipy,scipy,2011,prs,bioinformatics,1
scipy,scipy,2011,prs,statistical-physics,2
scipy,scipy,2011,prs,network-science,1
scipy,scipy,2011,total,statistics,25
scipy,scipy,2011,total,medical,89
scipy,scipy,2011,total,linear-algebra,42
scipy,scipy,2011,total,probability,8
scipy,scipy,2011,total,information-theory,4
scipy,scipy,2011,total,computer-vision,9
scipy,scipy,2011,total,image-processing,8
scipy,scipy,2011,total,remote-sensing,7
scipy,scipy,2011,total,differential-equations,29
scipy,scipy,2011,total,astrophysics,7
scipy,scipy,2011,total,geospatial,22
scipy,scipy,2011,total,optimization,15
scipy,scipy,2011,total,quant-finance,5
scipy,scipy,2011,total,control-systems,3
scipy,scipy,2011,total,signal-processing,10
scipy,scipy,2011,total,physics,4
scipy,scipy,2011,total,oceanography,10
scipy,scipy,2011,total,combinatorial-optimization,2
scipy,scipy,2011,total,natural-language-processing,1
scipy,scipy,2011,total,time-frequency-analysis,2
scipy,scipy,2011,total,geoscience,2
scipy,scipy,2011,total,hypothesis-testing,1
scipy,scipy,2011,total,robotics,1
scipy,scipy,2011,total,machine-learning,2
scipy,scipy,2011,total,biology,5
scipy,scipy,2011,total,reinforcement-learning,1
scipy,scipy,2011,total,computational-chemistry,2
scipy,scipy,2011,total,numerical-linear-algebra,5
scipy,scipy,2011,total,hydrology,2
scipy,scipy,2011,total,simulation,1
scipy,scipy,2011,total,bayesian-statistics,1
scipy,scipy,2011,total,meteorology,1
scipy,scipy,2011,total,graph-theory,2
scipy,scipy,2011,total,bioinformatics,1
scipy,scipy,2011,total,statistical-physics,2
scipy,scipy,2011,total,network-science,1
