owner,repo,year,source_type,tag,count
scipy,scipy,2012,prs,geospatial,52
scipy,scipy,2012,prs,medical,161
scipy,scipy,2012,prs,biology,12
scipy,scipy,2012,prs,linear-algebra,92
scipy,scipy,2012,prs,numerical-linear-algebra,1
scipy,scipy,2012,prs,optimization,35
scipy,scipy,2012,prs,simulation,1
scipy,scipy,2012,prs,quant-finance,11
scipy,scipy,2012,prs,signal-processing,26
scipy,scipy,2012,prs,network-science,5
scipy,scipy,2012,prs,differential-equations,47
scipy,scipy,2012,prs,statistics,38
scipy,scipy,2012,prs,oceanography,23
scipy,scipy,2012,prs,reinforcement-learning,5
scipy,scipy,2012,prs,remote-sensing,7
scipy,scipy,2012,prs,economics,4
scipy,scipy,2012,prs,hypothesis-testing,4
scipy,scipy,2012,prs,geoscience,4
scipy,scipy,2012,prs,probability,10
scipy,scipy,2012,prs,information-theory,9
scipy,scipy,2012,prs,mathematics,5
scipy,scipy,2012,prs,computer-vision,14
scipy,scipy,2012,prs,image-processing,12
scipy,scipy,2012,prs,physics,4
scipy,scipy,2012,prs,convex-optimization,2
scipy,scipy,2012,prs,robotics,1
scipy,scipy,2012,prs,ecology,2
scipy,scipy,2012,prs,graph-theory,9
scipy,scipy,2012,prs,meteorology,8
scipy,scipy,2012,prs,computational-chemistry,4
scipy,scipy,2012,prs,control-systems,2
scipy,scipy,2012,prs,bayesian-statistics,1
scipy,scipy,2012,prs,natural-language-processing,2
scipy,scipy,2012,prs,time-frequency-analysis,2
scipy,scipy,2012,prs,astrophysics,2
scipy,scipy,2012,prs,chemistry,1
scipy,scipy,2012,prs,evolutionary-biology,1
scipy,scipy,2012,prs,time-series,1
scipy,scipy,2012,prs,statistical-physics,1
scipy,scipy,2012,prs,combinatorial-optimization,1
scipy,scipy,2012,total,geospatial,52
scipy,scipy,2012,total,medical,161
scipy,scipy,2012,total,biology,12
scipy,scipy,2012,total,linear-algebra,92
scipy,scipy,2012,total,numerical-linear-algebra,1
scipy,scipy,2012,total,optimization,35
scipy,scipy,2012,total,simulation,1
scipy,scipy,2012,total,quant-finance,11
scipy,scipy,2012,total,signal-processing,26
scipy,scipy,2012,total,network-science,5
scipy,scipy,2012,total,differential-equations,47
scipy,scipy,2012,total,statistics,38
scipy,scipy,2012,total,oceanography,23
scipy,scipy,2012,total,reinforcement-learning,5
scipy,scipy,2012,total,remote-sensing,7
scipy,scipy,2012,total,economics,4
scipy,scipy,2012,total,hypothesis-testing,4
scipy,scipy,2012,total,geoscience,4
scipy,scipy,2012,total,probability,10
scipy,scipy,2012,total,information-theory,9
scipy,scipy,2012,total,mathematics,5
scipy,scipy,2012,total,computer-vision,14
scipy,scipy,2012,total,image-processing,12
scipy,scipy,2012,total,physics,4
scipy,scipy,2012,total,convex-optimization,2
scipy,scipy,2012,total,robotics,1
scipy,scipy,2012,total,ecology,2
scipy,scipy,2012,total,graph-theory,9
scipy,scipy,2012,total,meteorology,8
scipy,scipy,2012,total,computational-chemistry,4
scipy,scipy,2012,total,control-systems,2
scipy,scipy,2012,total,bayesian-statistics,1
scipy,scipy,2012,total,natural-language-processing,2
scipy,scipy,2012,total,time-frequency-analysis,2
scipy,scipy,2012,total,astrophysics,2
scipy,scipy,2012,total,chemistry,1
scipy,scipy,2012,total,evolutionary-biology,1
scipy,scipy,2012,total,time-series,1
scipy,scipy,2012,total,statistical-physics,1
scipy,scipy,2012,total,combinatorial-optimization,1
