owner,repo,year,source_type,tag,count
scipy,scipy,2024,issues,astrophysics,121
scipy,scipy,2024,issues,medical,839
scipy,scipy,2024,issues,differential-equations,589
scipy,scipy,2024,issues,mechanics,224
scipy,scipy,2024,issues,geospatial,225
scipy,scipy,2024,issues,linear-algebra,739
scipy,scipy,2024,issues,computer-vision,369
scipy,scipy,2024,issues,economics,323
scipy,scipy,2024,issues,quant-finance,130
scipy,scipy,2024,issues,statistics,327
scipy,scipy,2024,issues,image-processing,108
scipy,scipy,2024,issues,oceanography,218
scipy,scipy,2024,issues,probability,81
scipy,scipy,2024,issues,remote-sensing,83
scipy,scipy,2024,issues,biology,313
scipy,scipy,2024,issues,optimization,199
scipy,scipy,2024,issues,numerical-linear-algebra,13
scipy,scipy,2024,issues,signal-processing,138
scipy,scipy,2024,issues,statistical-physics,26
scipy,scipy,2024,issues,meteorology,128
scipy,scipy,2024,issues,mathematics,35
scipy,scipy,2024,issues,reinforcement-learning,154
scipy,scipy,2024,issues,information-theory,138
scipy,scipy,2024,issues,network-science,25
scipy,scipy,2024,issues,natural-language-processing,31
scipy,scipy,2024,issues,control-systems,29
scipy,scipy,2024,issues,graph-theory,75
scipy,scipy,2024,issues,hypothesis-testing,59
scipy,scipy,2024,issues,audio,8
scipy,scipy,2024,issues,evolutionary-biology,20
scipy,scipy,2024,issues,epidemiology,19
scipy,scipy,2024,issues,combinatorial-optimization,47
scipy,scipy,2024,issues,machine-learning,10
scipy,scipy,2024,issues,bioinformatics,5
scipy,scipy,2024,issues,physics,48
scipy,scipy,2024,issues,convex-optimization,7
scipy,scipy,2024,issues,cheminformatics,10
scipy,scipy,2024,issues,fluid-dynamics,9
scipy,scipy,2024,issues,computational-chemistry,29
scipy,scipy,2024,issues,simulation,9
scipy,scipy,2024,issues,time-frequency-analysis,16
scipy,scipy,2024,issues,geoscience,20
scipy,scipy,2024,issues,time-series,17
scipy,scipy,2024,issues,ecology,10
scipy,scipy,2024,issues,robotics,7
scipy,scipy,2024,issues,bayesian-statistics,15
scipy,scipy,2024,issues,deep-learning,16
scipy,scipy,2024,issues,chemistry,10
scipy,scipy,2024,issues,neuroscience,2
scipy,scipy,2024,issues,materials-science,2
scipy,scipy,2024,prs,optimization,169
scipy,scipy,2024,prs,medical,894
scipy,scipy,2024,prs,computer-vision,96
scipy,scipy,2024,prs,statistics,367
scipy,scipy,2024,prs,probability,88
scipy,scipy,2024,prs,geospatial,112
scipy,scipy,2024,prs,remote-sensing,74
scipy,scipy,2024,prs,differential-equations,437
scipy,scipy,2024,prs,network-science,14
scipy,scipy,2024,prs,signal-processing,120
scipy,scipy,2024,prs,graph-theory,59
scipy,scipy,2024,prs,linear-algebra,796
scipy,scipy,2024,prs,meteorology,31
scipy,scipy,2024,prs,information-theory,356
scipy,scipy,2024,prs,physics,42
scipy,scipy,2024,prs,statistical-physics,27
scipy,scipy,2024,prs,oceanography,136
scipy,scipy,2024,prs,geoscience,6
scipy,scipy,2024,prs,economics,17
scipy,scipy,2024,prs,reinforcement-learning,109
scipy,scipy,2024,prs,astrophysics,66
scipy,scipy,2024,prs,biology,103
scipy,scipy,2024,prs,combinatorial-optimization,47
scipy,scipy,2024,prs,image-processing,92
scipy,scipy,2024,prs,quant-finance,98
scipy,scipy,2024,prs,deep-learning,14
scipy,scipy,2024,prs,evolutionary-biology,37
scipy,scipy,2024,prs,control-systems,11
scipy,scipy,2024,prs,mathematics,23
scipy,scipy,2024,prs,computational-chemistry,8
scipy,scipy,2024,prs,hypothesis-testing,25
scipy,scipy,2024,prs,natural-language-processing,11
scipy,scipy,2024,prs,chemistry,3
scipy,scipy,2024,prs,numerical-linear-algebra,8
scipy,scipy,2024,prs,mechanics,14
scipy,scipy,2024,prs,time-series,6
scipy,scipy,2024,prs,neuroscience,1
scipy,scipy,2024,prs,robotics,4
scipy,scipy,2024,prs,machine-learning,9
scipy,scipy,2024,prs,bayesian-statistics,20
scipy,scipy,2024,prs,time-frequency-analysis,8
scipy,scipy,2024,prs,audio,4
scipy,scipy,2024,prs,ecology,12
scipy,scipy,2024,prs,epidemiology,3
scipy,scipy,2024,prs,cheminformatics,2
scipy,scipy,2024,prs,monte-carlo,4
scipy,scipy,2024,prs,materials-science,2
scipy,scipy,2024,prs,electromagnetism,1
scipy,scipy,2024,prs,computational-neuroscience,1
scipy,scipy,2024,prs,fluid-dynamics,1
scipy,scipy,2024,prs,econometrics,1
scipy,scipy,2024,total,astrophysics,187
scipy,scipy,2024,total,medical,1733
scipy,scipy,2024,total,differential-equations,1026
scipy,scipy,2024,total,mechanics,238
scipy,scipy,2024,total,geospatial,337
scipy,scipy,2024,total,linear-algebra,1535
scipy,scipy,2024,total,computer-vision,465
scipy,scipy,2024,total,economics,340
scipy,scipy,2024,total,quant-finance,228
scipy,scipy,2024,total,statistics,694
scipy,scipy,2024,total,image-processing,200
scipy,scipy,2024,total,oceanography,354
scipy,scipy,2024,total,probability,169
scipy,scipy,2024,total,remote-sensing,157
scipy,scipy,2024,total,biology,416
scipy,scipy,2024,total,optimization,368
scipy,scipy,2024,total,numerical-linear-algebra,21
scipy,scipy,2024,total,signal-processing,258
scipy,scipy,2024,total,statistical-physics,53
scipy,scipy,2024,total,meteorology,159
scipy,scipy,2024,total,mathematics,58
scipy,scipy,2024,total,reinforcement-learning,263
scipy,scipy,2024,total,information-theory,494
scipy,scipy,2024,total,network-science,39
scipy,scipy,2024,total,natural-language-processing,42
scipy,scipy,2024,total,control-systems,40
scipy,scipy,2024,total,graph-theory,134
scipy,scipy,2024,total,hypothesis-testing,84
scipy,scipy,2024,total,audio,12
scipy,scipy,2024,total,evolutionary-biology,57
scipy,scipy,2024,total,epidemiology,22
scipy,scipy,2024,total,combinatorial-optimization,94
scipy,scipy,2024,total,machine-learning,19
scipy,scipy,2024,total,bioinformatics,5
scipy,scipy,2024,total,physics,90
scipy,scipy,2024,total,convex-optimization,7
scipy,scipy,2024,total,cheminformatics,12
scipy,scipy,2024,total,fluid-dynamics,10
scipy,scipy,2024,total,computational-chemistry,37
scipy,scipy,2024,total,simulation,9
scipy,scipy,2024,total,time-frequency-analysis,24
scipy,scipy,2024,total,geoscience,26
scipy,scipy,2024,total,time-series,23
scipy,scipy,2024,total,ecology,22
scipy,scipy,2024,total,robotics,11
scipy,scipy,2024,total,bayesian-statistics,35
scipy,scipy,2024,total,deep-learning,30
scipy,scipy,2024,total,chemistry,13
scipy,scipy,2024,total,neuroscience,3
scipy,scipy,2024,total,materials-science,4
scipy,scipy,2024,total,monte-carlo,4
scipy,scipy,2024,total,electromagnetism,1
scipy,scipy,2024,total,computational-neuroscience,1
scipy,scipy,2024,total,econometrics,1
