owner,repo,year,source_type,tag,count
scipy,scipy,2014,total,time-frequency-analysis,7
scipy,scipy,2014,total,bioinformatics,3
scipy,scipy,2014,total,bayesian-statistics,10
scipy,scipy,2014,total,cheminformatics,1
scipy,scipy,2014,total,electromagnetism,1
scipy,scipy,2014,total,geoscience,12
scipy,scipy,2014,total,evolutionary-biology,7
scipy,scipy,2014,total,simulation,1
scipy,scipy,2014,total,cosmology,1
scipy,scipy,2014,total,ecology,2
scipy,scipy,2014,total,neuroscience,1
scipy,scipy,2014,total,materials-science,2
scipy,scipy,2014,total,fluid-dynamics,1
scipy,scipy,2014,total,geology,1
scipy,scipy,2014,total,monte-carlo,1
